ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4448.JPG,-13.14,151.16,0.022,1.659,2019-03-12 13:47:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4449.JPG,-12.57,145.74,0.026,1.586,2019-03-12 13:48:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4428.JPG,-9.04,155.32,0.073,1.136,2019-03-12 13:37:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4429.JPG,-9.92,156.25,0.057,1.248,2019-03-12 13:38:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4439.JPG,-12.27,147.12,0.028,1.549,2019-03-12 13:43:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4438.JPG,-13.95,156.24,0.017,1.763,2019-03-12 13:42:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4436.JPG,-12.1,146.58,0.03,1.527,2019-03-12 13:41:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4437.JPG,-14.22,153.69,0.016,1.798,2019-03-12 13:42:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4435.JPG,-13.55,154.8,0.019,1.711,2019-03-12 13:41:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4434.JPG,-13.3,155.5,0.021,1.679,2019-03-12 13:40:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4430.JPG,-11.46,155.14,0.036,1.445,2019-03-12 13:38:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4431.JPG,-10.76,149.27,0.044,1.356,2019-03-12 13:39:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4427.JPG,-6.66,148.68,0.147,0.832,2019-03-12 13:37:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4433.JPG,-13.06,154.04,0.022,1.649,2019-03-12 13:40:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4432.JPG,-11.11,147.0,0.04,1.4,2019-03-12 13:39:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4441.JPG,-13.84,155.87,0.018,1.749,2019-03-12 13:44:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4455.JPG,-14.1,153.09,0.017,1.782,2019-03-12 13:51:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4454.JPG,-14.08,154.31,0.017,1.779,2019-03-12 13:50:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4440.JPG,-14.01,155.23,0.017,1.771,2019-03-12 13:43:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4456.JPG,-13.68,154.8,0.019,1.728,2019-03-12 13:51:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4442.JPG,-13.85,154.94,0.018,1.75,2019-03-12 13:44:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4443.JPG,-13.68,154.25,0.019,1.728,2019-03-12 13:45:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4453.JPG,-14.21,153.71,0.016,1.797,2019-03-12 13:50:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4447.JPG,-12.45,146.79,0.027,1.572,2019-03-12 13:47:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4446.JPG,-13.7,154.0,0.019,1.731,2019-03-12 13:46:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4452.JPG,-12.04,142.36,0.03,1.519,2019-03-12 13:49:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4444.JPG,-13.82,154.78,0.018,1.746,2019-03-12 13:45:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4450.JPG,-14.42,152.63,0.015,1.823,2019-03-12 13:48:47,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4451.JPG,-12.73,144.62,0.025,1.607,2019-03-12 13:49:17,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4445.JPG,-13.08,153.51,0.022,1.652,2019-03-12 13:46:17,(1 - 4),(9 - 5),(57761 - 28880)
